195395
3865	0	2821
6318	0	9592
3271	0	2082
7686	0	1057
7097	0	7078
7250	0	3910
7224	0	2689
8800	0	519
5529	0	1969
14376	0	280
15300	0	2651
17397	0	153
10066	0	375
17793	0	153
3881	0	3704
7950	0	1288
18937	0	1709
3842	0	2995
5934	0	153
4186	0	553
7303	0	7304
9970	0	263
4550	0	1769
7170	0	1298
12743	0	788
15881	0	8416
17619	0	912
157	0	109
3935	0	153
7579	0	5
7975	0	5
14389	0	111
18085	0	153
18438	0	1961
15908	0	3823
4146	0	373
17998	0	908
14748	0	983
5171	0	1298
7121	0	1032
6622	0	153
6226	0	153
8468	0	288
13724	0	4043
2798	0	865
10764	0	1413
12663	0	11008
13431	0	788
14375	0	2283
454	0	453
15058	0	1559
4227	0	153
1742	0	1758
987	0	916
11627	0	3508
3105	0	2678
5223	0	1057
10034	0	32
2413	0	1404
8879	0	1700
13643	0	829
3813	0	3704
7017	0	1032
8766	0	9902
12705	0	280
15330	0	153
5547	0	2874
13766	0	3114
7850	0	252
4455	0	4110
2476	0	2103
7910	0	1057
13331	0	153
14914	0	2160
16975	0	5
17371	0	5
846	0	280
5111	0	2694
15028	0	8863
18273	0	2028
13218	0	1969
16239	0	1842
5819	0	1468
5908	0	5
5512	0	5
16517	0	1032
7845	0	258
15622	0	153
16018	0	153
16121	0	1032
16552	0	16302
15116	0	1513
15562	0	15563
9143	0	2281
3513	0	5
1672	0	214
13623	0	153
5809	0	3382
4159	0	153
4780	0	2715
6950	0	1284
960	0	917
1632	0	34
11804	0	1060
2160	0	153
6836	0	3599
6200	0	5
16413	0	1032
2252	0	3125
8852	0	1701
6949	0	1032
7386	0	1033
1443	0	512
8964	0	2696
7728	0	4934
11462	0	542
5073	0	2186
11427	0	1487
16559	0	9902
14583	0	14582
4950	0	1032
18988	0	37
9904	0	16500
10770	0	2651
17083	0	1951
1023	0	865
10233	0	2446
3832	0	1047
2335	0	1066
17051	0	3167
14595	0	14592
1058	0	1051
11457	0	548
15304	0	5
14908	0	5
11319	0	614
7678	0	1033
3844	0	1057
10884	0	4069
1820	0	1559
12909	0	5
9223	0	2933
1912	0	4531
3445	0	5
13555	0	153
13159	0	153
4840	0	1961
5122	0	5057
7832	0	1850
16390	0	1556
11381	0	8258
9726	0	521
18217	0	3169
2343	0	553
4932	0	4933
4347	0	2028
8265	0	197
7050	0	1060
5023	0	5051
1446	0	5
18528	0	1341
1912	0	1498
1917	0	1842
11556	0	153
15596	0	5
7142	0	4032
2092	0	153
1696	0	153
3778	0	3039
4487	0	1284
5323	0	1556
2057	0	7514
16345	0	1032
18392	0	11279
16386	0	1033
3056	0	3054
17586	0	13101
7065	0	1341
8505	0	788
16349	0	1905
93	0	153
14633	0	6724
3737	0	5
6820	0	756
7778	0	6875
4923	0	1033
11358	0	2016
1329	0	1298
1738	0	5
16340	0	1038
12829	0	12827
11233	0	789
1523	0	1514
14773	0	2947
7794	0	7758
7308	0	4078
385	0	153
832	0	842
7606	0	1291
15773	0	1341
10384	0	2160
12841	0	5
5611	0	1033
5215	0	1033
15266	0	3230
9256	0	1487
3836	0	2993
10842	0	5
12764	0	1478
7263	0	1302
8071	0	280
11488	0	153
