19845	4792	1
19845	11164	1
19845	28181	1
19845	7216	1
19845	9330	1
19845	23311	1
19845	15961	1
19845	18831	1
19845	20793	1
28245	19845	1
19945	19845	1
9995	19845	1
18342	19845	1
19845	11489	1
19845	29559	1
19845	6888	1
19845	8295	1
19845	18651	1
19845	9017	1
19845	912	1
19845	22452	1
19845	28097	1
19845	12130	1
19845	1289	1
19845	16708	1
19845	27254	1
8581	11671	1
8581	21207	1
8581	18867	1
8581	19059	1
8581	23333	1
2729	11671	1
30157	11671	1
15081	11671	1
1382	11671	1
24255	11671	1
24869	11671	1
2729	21207	1
30157	21207	1
15081	21207	1
1382	21207	1
24255	21207	1
24869	21207	1
2729	18867	1
30157	18867	1
15081	18867	1
1382	18867	1
24255	18867	1
24869	18867	1
2729	19059	1
30157	19059	1
15081	19059	1
1382	19059	1
24255	19059	1
24869	19059	1
2729	23333	1
30157	23333	1
15081	23333	1
1382	23333	1
24255	23333	1
24869	23333	1
15229	11671	1
25272	11671	1
9374	11671	1
22640	11671	1
15229	21207	1
25272	21207	1
9374	21207	1
22640	21207	1
15229	18867	1
25272	18867	1
9374	18867	1
22640	18867	1
15229	19059	1
25272	19059	1
9374	19059	1
22640	19059	1
15229	23333	1
25272	23333	1
9374	23333	1
22640	23333	1
11899	11671	1
11899	21207	1
11899	18867	1
11899	19059	1
11899	23333	1
7883	11671	1
7883	21207	1
7883	18867	1
7883	19059	1
7883	23333	1
13108	13848	1
28430	13848	1
1011	13848	1
13108	16779	1
28430	16779	1
1011	16779	1
13108	9639	1
28430	9639	1
1011	9639	1
21735	13108	1
25035	13108	1
21735	28430	1
25035	28430	1
21735	1011	1
25035	1011	1
16345	13108	1
16345	28430	1
16345	1011	1
5639	13108	1
5639	28430	1
5639	1011	1
26261	13108	1
26261	28430	1
26261	1011	1
20619	13108	1
7822	13108	1
3621	13108	1
20619	28430	1
7822	28430	1
3621	28430	1
20619	1011	1
7822	1011	1
3621	1011	1
13108	19485	1
28430	19485	1
1011	19485	1
13108	13998	1
28430	13998	1
1011	13998	1
13108	21633	1
28430	21633	1
1011	21633	1
13108	4013	1
28430	4013	1
1011	4013	1
13108	24527	1
28430	24527	1
1011	24527	1
997	13848	1
23248	13848	1
997	16779	1
23248	16779	1
997	9639	1
23248	9639	1
13848	17898	1
16779	17898	1
9639	17898	1
13848	29634	1
16779	29634	1
9639	29634	1
16345	13848	1
16345	16779	1
16345	9639	1
20619	13848	1
7822	13848	1
3621	13848	1
20619	16779	1
7822	16779	1
3621	16779	1
20619	9639	1
7822	9639	1
3621	9639	1
20182	13848	1
28727	13848	1
10274	13848	1
8116	13848	1
26218	13848	1
20182	16779	1
28727	16779	1
10274	16779	1
8116	16779	1
26218	16779	1
20182	9639	1
28727	9639	1
10274	9639	1
8116	9639	1
26218	9639	1
12580	101	1
20484	101	1
22796	101	1
9691	101	1
12580	18339	1
20484	18339	1
22796	18339	1
9691	18339	1
12580	17928	1
20484	17928	1
22796	17928	1
9691	17928	1
12580	16829	1
20484	16829	1
22796	16829	1
9691	16829	1
12039	21360	1
11253	21360	1
4056	21360	1
548	21360	1
12039	20542	1
11253	20542	1
4056	20542	1
548	20542	1
26895	21360	1
4937	21360	1
26895	20542	1
4937	20542	1
21360	101	1
20542	101	1
21360	14882	1
20542	14882	1
21360	18339	1
20542	18339	1
21360	17928	1
20542	17928	1
21360	16829	1
20542	16829	1
26723	21360	1
21637	21360	1
20054	21360	1
21683	21360	1
22589	21360	1
7391	21360	1
30137	21360	1
26723	20542	1
21637	20542	1
20054	20542	1
21683	20542	1
22589	20542	1
7391	20542	1
30137	20542	1
21360	3967	1
20542	3967	1
21360	8150	1
20542	8150	1
21360	6949	1
20542	6949	1
21360	17566	1
20542	17566	1
21360	16154	1
20542	16154	1
21360	8182	1
20542	8182	1
21360	11742	1
20542	11742	1
21360	25929	1
20542	25929	1
21360	3096	1
20542	3096	1
21360	15946	1
20542	15946	1
21360	18188	1
20542	18188	1
21360	10704	1
20542	10704	1
21360	6211	1
20542	6211	1
997	7674	1
23248	7674	1
997	10082	1
23248	10082	1
997	23897	1
23248	23897	1
997	19974	1
23248	19974	1
997	17898	1
23248	17898	1
997	29634	1
23248	29634	1
997	6259	1
23248	6259	1
997	20079	1
23248	20079	1
997	16345	1
23248	16345	1
997	5639	1
23248	5639	1
1358	997	1
28521	997	1
4270	997	1
1358	23248	1
28521	23248	1
4270	23248	1
997	20619	1
23248	20619	1
997	7822	1
23248	7822	1
997	3621	1
23248	3621	1
20182	997	1
28727	997	1
10274	997	1
8116	997	1
26218	997	1
20182	23248	1
28727	23248	1
10274	23248	1
8116	23248	1
26218	23248	1
4449	21774	1
23095	21774	1
4449	16716	1
23095	16716	1
4449	24659	1
23095	24659	1
4449	19721	1
23095	19721	1
