recall,precision
9.865168539325842589e-01,6.494082840236686804e-01
9.865168539325842589e-01,6.498889711324944418e-01
9.865168539325842589e-01,6.503703703703703765e-01
9.853932584269663453e-01,6.501111934766493627e-01
9.853932584269663453e-01,6.505934718100889746e-01
9.853932584269663453e-01,6.510764662212323861e-01
9.853932584269663453e-01,6.515601783060921415e-01
9.853932584269663453e-01,6.520446096654275436e-01
9.853932584269663453e-01,6.525297619047618625e-01
9.853932584269663453e-01,6.530156366344005425e-01
9.853932584269663453e-01,6.535022354694486335e-01
9.853932584269663453e-01,6.539895600298284428e-01
9.853932584269663453e-01,6.544776119402985204e-01
9.853932584269663453e-01,6.549663928304705340e-01
9.842696629213483206e-01,6.547085201793721998e-01
9.842696629213483206e-01,6.551982049364247773e-01
9.842696629213483206e-01,6.556886227544910239e-01
9.842696629213483206e-01,6.561797752808988804e-01
9.842696629213483206e-01,6.566716641679160027e-01
9.842696629213483206e-01,6.571642910727681919e-01
9.842696629213483206e-01,6.576576576576577127e-01
9.831460674157302959e-01,6.574004507888805415e-01
9.831460674157302959e-01,6.578947368421053099e-01
9.831460674157302959e-01,6.583897667419111865e-01
9.831460674157302959e-01,6.588855421686746761e-01
9.820224719101123823e-01,6.586284853051996846e-01
9.820224719101123823e-01,6.591251885369532326e-01
9.820224719101123823e-01,6.596226415094339490e-01
9.808988764044943576e-01,6.593655589123866845e-01
9.797752808988764439e-01,6.591080876795162302e-01
9.797752808988764439e-01,6.596066565809379778e-01
9.797752808988764439e-01,6.601059803179409879e-01
9.797752808988764439e-01,6.606060606060606410e-01
9.797752808988764439e-01,6.611068991660348226e-01
9.786516853932584192e-01,6.608497723823976155e-01
9.786516853932584192e-01,6.613515565679575214e-01
9.786516853932584192e-01,6.618541033434650611e-01
9.786516853932584192e-01,6.623574144486692461e-01
9.775280898876403946e-01,6.621004566210045850e-01
9.775280898876403946e-01,6.626047220106625613e-01
9.775280898876403946e-01,6.631097560975609539e-01
9.775280898876403946e-01,6.636155606407322383e-01
9.764044943820224809e-01,6.633587786259541597e-01
9.764044943820224809e-01,6.638655462184873679e-01
9.764044943820224809e-01,6.643730886850153228e-01
9.764044943820224809e-01,6.648814078041316300e-01
9.764044943820224809e-01,6.653905053598775376e-01
9.764044943820224809e-01,6.659003831417624752e-01
9.764044943820224809e-01,6.664110429447852590e-01
9.764044943820224809e-01,6.669224865694550752e-01
9.764044943820224809e-01,6.674347158218125742e-01
9.752808988764044562e-01,6.671790930053804747e-01
9.752808988764044562e-01,6.676923076923076961e-01
9.752808988764044562e-01,6.682063125481139121e-01
9.741573033707865426e-01,6.679506933744221442e-01
9.741573033707865426e-01,6.684656900539707181e-01
9.741573033707865426e-01,6.689814814814815103e-01
9.741573033707865426e-01,6.694980694980694480e-01
9.741573033707865426e-01,6.700154559505409058e-01
9.730337078651685179e-01,6.697602474864655653e-01
9.730337078651685179e-01,6.702786377708978005e-01
9.719101123595506042e-01,6.700232378001549360e-01
9.719101123595506042e-01,6.705426356589146986e-01
9.707865168539325795e-01,6.702870442203258117e-01
9.707865168539325795e-01,6.708074534161491131e-01
9.707865168539325795e-01,6.713286713286713558e-01
9.707865168539325795e-01,6.718506998444789824e-01
9.707865168539325795e-01,6.723735408560311821e-01
9.707865168539325795e-01,6.728971962616822067e-01
9.707865168539325795e-01,6.734216679657053506e-01
9.707865168539325795e-01,6.739469578783151560e-01
9.707865168539325795e-01,6.744730679156908382e-01
9.707865168539325795e-01,6.750000000000000444e-01
9.696629213483145548e-01,6.747458952306489843e-01
9.696629213483145548e-01,6.752738654147104613e-01
9.685393258426966412e-01,6.750195771339075890e-01
9.685393258426966412e-01,6.755485893416928178e-01
9.685393258426966412e-01,6.760784313725489714e-01
9.685393258426966412e-01,6.766091051805337431e-01
9.685393258426966412e-01,6.771406127258444707e-01
9.685393258426966412e-01,6.776729559748427834e-01
9.685393258426966412e-01,6.782061369000786932e-01
9.685393258426966412e-01,6.787401574803149096e-01
9.685393258426966412e-01,6.792750197005515966e-01
9.685393258426966412e-01,6.798107255520504655e-01
9.674157303370786165e-01,6.795580110497237980e-01
9.674157303370786165e-01,6.800947867298577920e-01
9.674157303370786165e-01,6.806324110671936323e-01
9.674157303370786165e-01,6.811708860759493334e-01
9.674157303370786165e-01,6.817102137767221404e-01
9.662921348314607028e-01,6.814580031695720574e-01
9.662921348314607028e-01,6.819984139571768633e-01
9.662921348314607028e-01,6.825396825396825573e-01
9.662921348314607028e-01,6.830818109610802269e-01
9.662921348314607028e-01,6.836248012718600942e-01
9.662921348314607028e-01,6.841686555290373839e-01
9.662921348314607028e-01,6.847133757961783029e-01
9.662921348314607028e-01,6.852589641434262413e-01
9.662921348314607028e-01,6.858054226475278625e-01
9.662921348314607028e-01,6.863527533918595269e-01
9.662921348314607028e-01,6.869009584664537149e-01
9.662921348314607028e-01,6.874500399680255613e-01
9.662921348314607028e-01,6.879999999999999449e-01
9.651685393258426782e-01,6.877502001601281112e-01
9.651685393258426782e-01,6.883012820512820484e-01
9.651685393258426782e-01,6.888532477947072463e-01
9.640449438202247645e-01,6.886035313001604985e-01
9.640449438202247645e-01,6.891566265060240504e-01
9.629213483146067398e-01,6.889067524115756180e-01
9.629213483146067398e-01,6.894609814963796879e-01
9.629213483146067398e-01,6.900161030595812761e-01
9.629213483146067398e-01,6.905721192586623536e-01
9.617977528089887151e-01,6.903225806451612767e-01
9.617977528089887151e-01,6.908797417271993480e-01
9.617977528089887151e-01,6.914378029079160104e-01
9.617977528089887151e-01,6.919967663702506488e-01
9.617977528089887151e-01,6.925566343042071082e-01
9.606741573033708015e-01,6.923076923076922906e-01
9.606741573033708015e-01,6.928687196110210333e-01
9.606741573033708015e-01,6.934306569343066107e-01
9.606741573033708015e-01,6.939935064935064402e-01
9.595505617977527768e-01,6.937449228269699786e-01
9.595505617977527768e-01,6.943089430894309189e-01
9.584269662921348631e-01,6.940602115541090189e-01
9.573033707865168385e-01,6.938110749185667503e-01
9.573033707865168385e-01,6.943765281173593928e-01
9.573033707865168385e-01,6.949429037520391539e-01
9.561797752808989248e-01,6.946938775510204112e-01
9.561797752808989248e-01,6.952614379084967045e-01
9.561797752808989248e-01,6.958299264104660375e-01
9.561797752808989248e-01,6.963993453355155072e-01
9.561797752808989248e-01,6.969696969696970168e-01
9.561797752808989248e-01,6.975409836065573632e-01
9.550561797752809001e-01,6.972928630024610719e-01
9.550561797752809001e-01,6.978653530377668668e-01
9.550561797752809001e-01,6.984387838948233895e-01
9.550561797752809001e-01,6.990131578947368363e-01
9.550561797752809001e-01,6.995884773662551792e-01
9.550561797752809001e-01,7.001647446457990309e-01
9.539325842696628754e-01,6.999175597691673634e-01
9.539325842696628754e-01,7.004950495049504511e-01
9.528089887640449618e-01,7.002477291494632050e-01
9.528089887640449618e-01,7.008264462809917772e-01
9.528089887640449618e-01,7.014061207609594284e-01
9.516853932584269371e-01,7.011589403973509382e-01
9.516853932584269371e-01,7.017398508699254078e-01
9.516853932584269371e-01,7.023217247097843785e-01
9.505617977528090234e-01,7.020746887966804461e-01
9.505617977528090234e-01,7.026578073089700949e-01
9.505617977528090234e-01,7.032418952618454400e-01
9.505617977528090234e-01,7.038269550748752490e-01
9.505617977528090234e-01,7.044129891756869544e-01
9.505617977528090234e-01,7.049999999999999600e-01
9.505617977528090234e-01,7.055879899916597253e-01
9.494382022471909988e-01,7.053422370617695725e-01
9.494382022471909988e-01,7.059314954051796320e-01
9.483146067415730851e-01,7.056856187290969640e-01
9.483146067415730851e-01,7.062761506276150625e-01
