fpr,tpr,threshold
4.392386530014641410e-02,5.213483146067415808e-01,9.875354170799255371e-01
4.538799414348462791e-02,5.213483146067415808e-01,9.875189661979675293e-01
4.538799414348462791e-02,5.382022471910112849e-01,9.868330955505371094e-01
4.685212298682284171e-02,5.382022471910112849e-01,9.868070483207702637e-01
4.685212298682284171e-02,5.393258426966291985e-01,9.868043661117553711e-01
4.831625183016105551e-02,5.393258426966291985e-01,9.867122769355773926e-01
4.831625183016105551e-02,5.483146067415730629e-01,9.863808155059814453e-01
4.978038067349926932e-02,5.483146067415730629e-01,9.863775372505187988e-01
4.978038067349926932e-02,5.494382022471909766e-01,9.863696098327636719e-01
5.124450951683748312e-02,5.494382022471909766e-01,9.863449335098266602e-01
5.124450951683748312e-02,5.505617977528090012e-01,9.862464070320129395e-01
5.417276720351391073e-02,5.505617977528090012e-01,9.862337708473205566e-01
5.417276720351391073e-02,5.528089887640449396e-01,9.862047433853149414e-01
5.417276720351391073e-02,5.764044943820224587e-01,9.850119948387145996e-01
5.563689604685212453e-02,5.764044943820224587e-01,9.850012063980102539e-01
5.563689604685212453e-02,5.775280898876404834e-01,9.849497675895690918e-01
5.856515373352855214e-02,5.775280898876404834e-01,9.848986268043518066e-01
5.856515373352855214e-02,5.786516853932583970e-01,9.848301410675048828e-01
6.149341142020497974e-02,5.786516853932583970e-01,9.846794009208679199e-01
6.149341142020497974e-02,5.808988764044943354e-01,9.846179485321044922e-01
6.295754026354319355e-02,5.808988764044943354e-01,9.845616221427917480e-01
6.295754026354319355e-02,5.853932584269663231e-01,9.844166040420532227e-01
6.442166910688140735e-02,5.853932584269663231e-01,9.843868017196655273e-01
6.442166910688140735e-02,5.865168539325842367e-01,9.843066334724426270e-01
6.588579795021962116e-02,5.865168539325842367e-01,9.842796325683593750e-01
6.588579795021962116e-02,5.876404494382022614e-01,9.842472672462463379e-01
6.734992679355783496e-02,5.876404494382022614e-01,9.841441512107849121e-01
6.734992679355783496e-02,5.910112359550562244e-01,9.839757680892944336e-01
6.881405563689604876e-02,5.910112359550562244e-01,9.839653968811035156e-01
