recall,precision
9.797752808988764439e-01,6.449704142011833952e-01
9.797752808988764439e-01,6.454478164322723366e-01
9.797752808988764439e-01,6.459259259259259034e-01
9.797752808988764439e-01,6.464047442550037159e-01
9.797752808988764439e-01,6.468842729970326610e-01
9.797752808988764439e-01,6.473645137342242117e-01
9.797752808988764439e-01,6.478454680534918575e-01
9.797752808988764439e-01,6.483271375464684239e-01
9.797752808988764439e-01,6.488095238095238360e-01
9.797752808988764439e-01,6.492926284437825490e-01
9.797752808988764439e-01,6.497764530551415341e-01
9.797752808988764439e-01,6.502609992542878192e-01
9.797752808988764439e-01,6.507462686567163646e-01
9.797752808988764439e-01,6.512322628827482696e-01
9.797752808988764439e-01,6.517189835575485368e-01
9.797752808988764439e-01,6.522064323111443906e-01
9.786516853932584192e-01,6.519461077844311836e-01
9.775280898876403946e-01,6.516853932584270037e-01
9.775280898876403946e-01,6.521739130434782705e-01
9.775280898876403946e-01,6.526631657914478968e-01
9.764044943820224809e-01,6.524024024024024371e-01
9.752808988764044562e-01,6.521412471825694945e-01
9.752808988764044562e-01,6.526315789473684514e-01
9.752808988764044562e-01,6.531226486079759752e-01
9.752808988764044562e-01,6.536144578313253239e-01
9.752808988764044562e-01,6.541070082893745141e-01
9.752808988764044562e-01,6.546003016591251944e-01
9.752808988764044562e-01,6.550943396226415194e-01
9.741573033707865426e-01,6.548338368580060020e-01
9.741573033707865426e-01,6.553287981859410305e-01
9.741573033707865426e-01,6.558245083207261406e-01
9.741573033707865426e-01,6.563209689629069254e-01
9.741573033707865426e-01,6.568181818181818565e-01
9.730337078651685179e-01,6.565579984836997784e-01
9.730337078651685179e-01,6.570561456752656015e-01
9.719101123595506042e-01,6.567957479119210795e-01
9.719101123595506042e-01,6.572948328267477214e-01
9.707865168539325795e-01,6.570342205323194129e-01
9.696629213483145548e-01,6.567732115677321625e-01
9.696629213483145548e-01,6.572734196496572423e-01
9.696629213483145548e-01,6.577743902439023849e-01
9.696629213483145548e-01,6.582761250953470533e-01
9.696629213483145548e-01,6.587786259541984490e-01
9.696629213483145548e-01,6.592818945760122729e-01
9.696629213483145548e-01,6.597859327217124870e-01
9.685393258426966412e-01,6.595256312165264090e-01
9.685393258426966412e-01,6.600306278713629071e-01
9.685393258426966412e-01,6.605363984674329503e-01
9.685393258426966412e-01,6.610429447852760321e-01
9.685393258426966412e-01,6.615502686108979402e-01
9.685393258426966412e-01,6.620583717357910736e-01
9.674157303370786165e-01,6.617986164488854905e-01
9.674157303370786165e-01,6.623076923076922640e-01
9.662921348314607028e-01,6.620477290223248934e-01
9.662921348314607028e-01,6.625577812018490498e-01
9.662921348314607028e-01,6.630686198920585639e-01
9.651685393258426782e-01,6.628086419753086433e-01
9.651685393258426782e-01,6.633204633204633494e-01
9.640449438202247645e-01,6.630602782071097767e-01
9.640449438202247645e-01,6.635730858468676940e-01
9.640449438202247645e-01,6.640866873065015552e-01
9.629213483146067398e-01,6.638264910921766182e-01
9.629213483146067398e-01,6.643410852713178549e-01
9.617977528089887151e-01,6.640806826997672774e-01
9.617977528089887151e-01,6.645962732919254989e-01
9.617977528089887151e-01,6.651126651126650913e-01
9.617977528089887151e-01,6.656298600311042479e-01
9.617977528089887151e-01,6.661478599221789532e-01
9.617977528089887151e-01,6.666666666666666297e-01
9.617977528089887151e-01,6.671862821512081210e-01
9.617977528089887151e-01,6.677067082683307842e-01
9.617977528089887151e-01,6.682279469164714714e-01
9.617977528089887151e-01,6.687499999999999556e-01
9.606741573033708015e-01,6.684910086004690610e-01
9.606741573033708015e-01,6.690140845070422504e-01
9.606741573033708015e-01,6.695379796397807892e-01
9.595505617977527768e-01,6.692789968652037569e-01
9.595505617977527768e-01,6.698039215686274472e-01
9.595505617977527768e-01,6.703296703296702796e-01
9.595505617977527768e-01,6.708562450903378105e-01
9.595505617977527768e-01,6.713836477987421558e-01
9.595505617977527768e-01,6.719118804091266384e-01
9.595505617977527768e-01,6.724409448818897683e-01
9.584269662921348631e-01,6.721828211189913027e-01
9.584269662921348631e-01,6.727129337539432541e-01
