recall,precision
9.988764044943819753e-01,6.035302104548539992e-01
9.988764044943819753e-01,6.039402173913043237e-01
9.977528089887640617e-01,6.036709721278041840e-01
9.977528089887640617e-01,6.040816326530612512e-01
9.977528089887640617e-01,6.044928522804629001e-01
9.977528089887640617e-01,6.049046321525886061e-01
9.977528089887640617e-01,6.053169734151329084e-01
9.977528089887640617e-01,6.057298772169167345e-01
9.977528089887640617e-01,6.061433447098976135e-01
9.977528089887640617e-01,6.065573770491803351e-01
9.977528089887640617e-01,6.069719753930280515e-01
9.977528089887640617e-01,6.073871409028728241e-01
9.977528089887640617e-01,6.078028747433265044e-01
9.977528089887640617e-01,6.082191780821918359e-01
9.977528089887640617e-01,6.086360520904728899e-01
9.966292134831460370e-01,6.083676268861454295e-01
9.966292134831460370e-01,6.087851750171585641e-01
9.966292134831460370e-01,6.092032967032966484e-01
9.966292134831460370e-01,6.096219931271478210e-01
9.966292134831460370e-01,6.100412654745529517e-01
9.966292134831460370e-01,6.104611149346180765e-01
9.966292134831460370e-01,6.108815426997245002e-01
9.966292134831460370e-01,6.113025499655410089e-01
9.966292134831460370e-01,6.117241379310345284e-01
9.966292134831460370e-01,6.121463077984816703e-01
9.966292134831460370e-01,6.125690607734806115e-01
9.966292134831460370e-01,6.129923980649619741e-01
9.966292134831460370e-01,6.134163208852005944e-01
9.966292134831460370e-01,6.138408304498269574e-01
9.966292134831460370e-01,6.142659279778392989e-01
9.955056179775281233e-01,6.139986139986139957e-01
9.955056179775281233e-01,6.144244105409153445e-01
9.955056179775281233e-01,6.148507980569049014e-01
9.943820224719100986e-01,6.145833333333333703e-01
9.943820224719100986e-01,6.150104239054898780e-01
9.943820224719100986e-01,6.154381084840055971e-01
9.943820224719100986e-01,6.158663883089769975e-01
9.943820224719100986e-01,6.162952646239554522e-01
9.943820224719100986e-01,6.167247386759582284e-01
9.943820224719100986e-01,6.171548117154811441e-01
9.943820224719100986e-01,6.175854849965107807e-01
9.943820224719100986e-01,6.180167597765363618e-01
9.943820224719100986e-01,6.184486373165618556e-01
9.943820224719100986e-01,6.188811188811188524e-01
9.932584269662921850e-01,6.186144156752974022e-01
9.932584269662921850e-01,6.190476190476190688e-01
9.932584269662921850e-01,6.194814295725298292e-01
9.932584269662921850e-01,6.199158485273492669e-01
9.921348314606741603e-01,6.196491228070175605e-01
9.921348314606741603e-01,6.200842696629212947e-01
9.921348314606741603e-01,6.205200281096275861e-01
9.910112359550561356e-01,6.202531645569620000e-01
9.910112359550561356e-01,6.206896551724138122e-01
9.898876404494382220e-01,6.204225352112675562e-01
9.898876404494382220e-01,6.208597603946440779e-01
9.898876404494382220e-01,6.212976022566996104e-01
9.898876404494382220e-01,6.217360621030345591e-01
9.898876404494382220e-01,6.221751412429378236e-01
9.898876404494382220e-01,6.226148409893993430e-01
9.887640449438201973e-01,6.223479490806222980e-01
9.887640449438201973e-01,6.227883934890304785e-01
9.887640449438201973e-01,6.232294617563739481e-01
9.876404494382022836e-01,6.229624379872430451e-01
9.865168539325842589e-01,6.226950354609929184e-01
9.853932584269663453e-01,6.224272533711852073e-01
9.842696629213483206e-01,6.221590909090909394e-01
9.842696629213483206e-01,6.226012793176972648e-01
9.831460674157302959e-01,6.223328591749643923e-01
9.831460674157302959e-01,6.227758007117437655e-01
9.820224719101123823e-01,6.225071225071224790e-01
9.820224719101123823e-01,6.229508196721311730e-01
9.820224719101123823e-01,6.233951497860199531e-01
9.820224719101123823e-01,6.238401142041398728e-01
9.808988764044943576e-01,6.235714285714285543e-01
9.808988764044943576e-01,6.240171551107934755e-01
9.808988764044943576e-01,6.244635193133046824e-01
9.797752808988764439e-01,6.241947029348604570e-01
9.797752808988764439e-01,6.246418338108882251e-01
9.797752808988764439e-01,6.250896057347670176e-01
9.797752808988764439e-01,6.255380200860831685e-01
9.797752808988764439e-01,6.259870782483847318e-01
9.797752808988764439e-01,6.264367816091953589e-01
9.797752808988764439e-01,6.268871315600287319e-01
9.797752808988764439e-01,6.273381294964028854e-01
9.797752808988764439e-01,6.277897768178545279e-01
9.797752808988764439e-01,6.282420749279539196e-01
9.797752808988764439e-01,6.286950252343186385e-01
9.786516853932584192e-01,6.284271284271284452e-01
9.786516853932584192e-01,6.288808664259928349e-01
9.786516853932584192e-01,6.293352601156069204e-01
9.786516853932584192e-01,6.297903109182935166e-01
9.786516853932584192e-01,6.302460202604920347e-01
9.775280898876403946e-01,6.299782766111513554e-01
9.764044943820224809e-01,6.297101449275361862e-01
9.752808988764044562e-01,6.294416243654822329e-01
9.741573033707865426e-01,6.291727140783744954e-01
9.741573033707865426e-01,6.296296296296296502e-01
9.730337078651685179e-01,6.293604651162790775e-01
9.730337078651685179e-01,6.298181818181818326e-01
9.730337078651685179e-01,6.302765647743813204e-01
9.719101123595506042e-01,6.300072833211944889e-01
9.719101123595506042e-01,6.304664723032069595e-01
9.719101123595506042e-01,6.309263311451495104e-01
9.707865168539325795e-01,6.306569343065693278e-01
9.707865168539325795e-01,6.311176040905770446e-01
9.707865168539325795e-01,6.315789473684210176e-01
9.696629213483145548e-01,6.313094367227505277e-01
9.696629213483145548e-01,6.317715959004391868e-01
9.696629213483145548e-01,6.322344322344322087e-01
9.696629213483145548e-01,6.326979472140762395e-01
9.696629213483145548e-01,6.331621423330887621e-01
9.685393258426966412e-01,6.328928046989721334e-01
9.685393258426966412e-01,6.333578251285819638e-01
9.685393258426966412e-01,6.338235294117646745e-01
9.674157303370786165e-01,6.335540838852097290e-01
9.662921348314607028e-01,6.332842415316641826e-01
9.662921348314607028e-01,6.337509211495947481e-01
9.662921348314607028e-01,6.342182890855456723e-01
9.651685393258426782e-01,6.339483394833947960e-01
9.640449438202247645e-01,6.336779911373707774e-01
9.640449438202247645e-01,6.341463414634146423e-01
9.640449438202247645e-01,6.346153846153845812e-01
9.640449438202247645e-01,6.350851221317542761e-01
9.629213483146067398e-01,6.348148148148148318e-01
9.617977528089887151e-01,6.345441067457375794e-01
9.606741573033708015e-01,6.342729970326409505e-01
9.595505617977527768e-01,6.340014847809948284e-01
9.595505617977527768e-01,6.344725111441307241e-01
9.595505617977527768e-01,6.349442379182156371e-01
9.595505617977527768e-01,6.354166666666666297e-01
9.595505617977527768e-01,6.358897989575577059e-01
9.595505617977527768e-01,6.363636363636363535e-01
9.595505617977527768e-01,6.368381804623415299e-01
9.584269662921348631e-01,6.365671641791045277e-01
9.584269662921348631e-01,6.370425690814039976e-01
9.584269662921348631e-01,6.375186846038863875e-01
9.584269662921348631e-01,6.379955123410621098e-01
9.584269662921348631e-01,6.384730538922155363e-01
9.584269662921348631e-01,6.389513108614232051e-01
9.584269662921348631e-01,6.394302848575712517e-01
9.573033707865168385e-01,6.391597899474869005e-01
9.573033707865168385e-01,6.396396396396396566e-01
