fpr,tpr,threshold
1.010248901903367524e-01,3.033707865168539519e-01,9.802130460739135742e-01
1.024890190336749662e-01,3.033707865168539519e-01,9.801655411720275879e-01
1.024890190336749662e-01,3.044943820224719211e-01,9.799097776412963867e-01
1.039531478770131800e-01,3.044943820224719211e-01,9.798970222473144531e-01
1.039531478770131800e-01,3.067415730337078594e-01,9.798472523689270020e-01
1.068814055636896077e-01,3.067415730337078594e-01,9.794954657554626465e-01
1.068814055636896077e-01,3.089887640449437978e-01,9.791232347488403320e-01
1.083455344070278215e-01,3.089887640449437978e-01,9.791224002838134766e-01
1.083455344070278215e-01,3.123595505617977608e-01,9.788460731506347656e-01
1.098096632503660353e-01,3.123595505617977608e-01,9.788324236869812012e-01
1.098096632503660353e-01,3.134831460674157300e-01,9.787905812263488770e-01
1.127379209370424629e-01,3.134831460674157300e-01,9.786350727081298828e-01
1.127379209370424629e-01,3.179775280898876622e-01,9.785156250000000000e-01
1.142020497803806767e-01,3.179775280898876622e-01,9.784787297248840332e-01
1.142020497803806767e-01,3.191011235955056313e-01,9.784117937088012695e-01
1.156661786237188905e-01,3.191011235955056313e-01,9.780977964401245117e-01
1.156661786237188905e-01,3.280898876404494402e-01,9.775010347366333008e-01
1.171303074670571043e-01,3.280898876404494402e-01,9.772803187370300293e-01
1.171303074670571043e-01,3.325842696629213724e-01,9.768511056900024414e-01
1.185944363103953181e-01,3.325842696629213724e-01,9.767814874649047852e-01
1.185944363103953181e-01,3.382022471910112182e-01,9.763704538345336914e-01
1.200585651537335319e-01,3.382022471910112182e-01,9.763212203979492188e-01
1.200585651537335319e-01,3.471910112359550826e-01,9.756163358688354492e-01
1.215226939970717457e-01,3.471910112359550826e-01,9.755102992057800293e-01
1.215226939970717457e-01,3.483146067415730518e-01,9.755058884620666504e-01
1.229868228404099595e-01,3.483146067415730518e-01,9.751983284950256348e-01
1.229868228404099595e-01,3.494382022471910210e-01,9.750469923019409180e-01
1.244509516837481733e-01,3.494382022471910210e-01,9.750384092330932617e-01
1.244509516837481733e-01,3.550561797752809223e-01,9.745306372642517090e-01
1.303074670571010285e-01,3.550561797752809223e-01,9.741879105567932129e-01
1.303074670571010285e-01,3.584269662921348298e-01,9.740887880325317383e-01
1.317715959004392423e-01,3.584269662921348298e-01,9.740598201751708984e-01
1.317715959004392423e-01,3.606741573033707682e-01,9.740500450134277344e-01
1.332357247437774561e-01,3.606741573033707682e-01,9.739286899566650391e-01
1.332357247437774561e-01,3.662921348314606695e-01,9.736970067024230957e-01
1.346998535871156699e-01,3.662921348314606695e-01,9.735911488533020020e-01
1.346998535871156699e-01,3.707865168539326017e-01,9.733831882476806641e-01
1.361639824304538837e-01,3.707865168539326017e-01,9.733257889747619629e-01
1.361639824304538837e-01,3.752808988764044784e-01,9.731395244598388672e-01
1.376281112737920975e-01,3.752808988764044784e-01,9.730877876281738281e-01
1.376281112737920975e-01,3.898876404494381887e-01,9.720806479454040527e-01
1.390922401171303113e-01,3.898876404494381887e-01,9.720644950866699219e-01
1.390922401171303113e-01,3.977528089887640284e-01,9.711880087852478027e-01
1.405563689604685251e-01,3.977528089887640284e-01,9.711554646492004395e-01
1.405563689604685251e-01,4.000000000000000222e-01,9.707717299461364746e-01
1.420204978038067389e-01,4.000000000000000222e-01,9.706585407257080078e-01
1.420204978038067389e-01,4.056179775280898681e-01,9.701437950134277344e-01
1.464128843338213803e-01,4.056179775280898681e-01,9.698978662490844727e-01
1.464128843338213803e-01,4.067415730337078927e-01,9.698198437690734863e-01
1.478770131771595941e-01,4.067415730337078927e-01,9.696385264396667480e-01
1.478770131771595941e-01,4.112359550561797694e-01,9.694607853889465332e-01
1.522693997071742356e-01,4.112359550561797694e-01,9.691969156265258789e-01
1.522693997071742356e-01,4.202247191011235783e-01,9.686504602432250977e-01
1.537335285505124494e-01,4.202247191011235783e-01,9.686279296875000000e-01
1.537335285505124494e-01,4.224719101123595721e-01,9.684883356094360352e-01
1.551976573938506632e-01,4.224719101123595721e-01,9.683278203010559082e-01
1.551976573938506632e-01,4.269662921348314488e-01,9.678871631622314453e-01
1.566617862371888770e-01,4.269662921348314488e-01,9.677869081497192383e-01
1.566617862371888770e-01,4.292134831460674427e-01,9.677596688270568848e-01
1.581259150805270908e-01,4.292134831460674427e-01,9.677246809005737305e-01
1.581259150805270908e-01,4.303370786516854118e-01,9.676859974861145020e-01
1.610541727672035184e-01,4.303370786516854118e-01,9.675731658935546875e-01
1.610541727672035184e-01,4.325842696629213502e-01,9.674814939498901367e-01
1.625183016105417322e-01,4.325842696629213502e-01,9.674546718597412109e-01
1.625183016105417322e-01,4.348314606741572885e-01,9.672547578811645508e-01
1.639824304538799460e-01,4.348314606741572885e-01,9.672538042068481445e-01
1.639824304538799460e-01,4.370786516853932824e-01,9.671890735626220703e-01
1.654465592972181598e-01,4.370786516853932824e-01,9.671505093574523926e-01
1.654465592972181598e-01,4.393258426966292207e-01,9.668657779693603516e-01
1.698389458272328012e-01,4.393258426966292207e-01,9.667820930480957031e-01
1.698389458272328012e-01,4.404494382022471899e-01,9.667758345603942871e-01
1.713030746705710150e-01,4.404494382022471899e-01,9.667434096336364746e-01
1.713030746705710150e-01,4.415730337078651591e-01,9.665347337722778320e-01
1.727672035139092288e-01,4.415730337078651591e-01,9.665187597274780273e-01
1.727672035139092288e-01,4.426966292134831282e-01,9.665092825889587402e-01
1.742313323572474426e-01,4.426966292134831282e-01,9.662649631500244141e-01
1.742313323572474426e-01,4.449438202247191221e-01,9.660060405731201172e-01
1.756954612005856564e-01,4.449438202247191221e-01,9.659745097160339355e-01
1.756954612005856564e-01,4.516853932584269926e-01,9.652300477027893066e-01
1.771595900439238702e-01,4.516853932584269926e-01,9.650413990020751953e-01
1.771595900439238702e-01,4.528089887640449618e-01,9.649868011474609375e-01
1.786237188872620840e-01,4.528089887640449618e-01,9.648647308349609375e-01
1.786237188872620840e-01,4.606741573033708015e-01,9.639663696289062500e-01
1.815519765739385116e-01,4.606741573033708015e-01,9.634956717491149902e-01
1.815519765739385116e-01,4.629213483146067398e-01,9.632755517959594727e-01
1.830161054172767254e-01,4.629213483146067398e-01,9.631748199462890625e-01
1.830161054172767254e-01,4.640449438202247090e-01,9.630679488182067871e-01
1.859443631039531530e-01,4.640449438202247090e-01,9.625485539436340332e-01
1.859443631039531530e-01,4.685393258426966412e-01,9.618735313415527344e-01
1.874084919472913668e-01,4.685393258426966412e-01,9.617893099784851074e-01
1.874084919472913668e-01,4.707865168539325795e-01,9.613232016563415527e-01
1.903367496339677944e-01,4.707865168539325795e-01,9.611775875091552734e-01
1.903367496339677944e-01,4.741573033707865426e-01,9.610897302627563477e-01
1.932650073206442221e-01,4.741573033707865426e-01,9.610283374786376953e-01
1.932650073206442221e-01,4.764044943820224809e-01,9.608440399169921875e-01
1.947291361639824359e-01,4.764044943820224809e-01,9.608348011970520020e-01
1.947291361639824359e-01,4.808988764044943576e-01,9.604209661483764648e-01
1.961932650073206497e-01,4.808988764044943576e-01,9.603918790817260742e-01
1.961932650073206497e-01,4.842696629213483206e-01,9.599135518074035645e-01
1.991215226939970773e-01,4.842696629213483206e-01,9.596735835075378418e-01
1.991215226939970773e-01,4.865168539325842589e-01,9.595403671264648438e-01
2.005856515373352911e-01,4.865168539325842589e-01,9.593719244003295898e-01
2.005856515373352911e-01,4.910112359550561911e-01,9.585653543472290039e-01
2.020497803806735049e-01,4.910112359550561911e-01,9.585430622100830078e-01
2.020497803806735049e-01,4.955056179775280678e-01,9.582413434982299805e-01
2.035139092240117187e-01,4.955056179775280678e-01,9.579235315322875977e-01
2.035139092240117187e-01,4.966292134831460925e-01,9.578894972801208496e-01
2.064421669106881463e-01,4.966292134831460925e-01,9.577627182006835938e-01
2.064421669106881463e-01,4.988764044943820308e-01,9.576878547668457031e-01
2.064421669106881463e-01,5.011235955056180247e-01,9.576067924499511719e-01
2.079062957540263601e-01,5.011235955056180247e-01,9.575058221817016602e-01
2.079062957540263601e-01,5.022471910112359383e-01,9.574202299118041992e-01
2.079062957540263601e-01,5.044943820224718767e-01,9.572720527648925781e-01
2.079062957540263601e-01,5.067415730337078150e-01,9.571226239204406738e-01
2.122986822840410015e-01,5.067415730337078150e-01,9.569200277328491211e-01
2.122986822840410015e-01,5.123595505617977164e-01,9.564219713211059570e-01
2.137628111273792153e-01,5.123595505617977164e-01,9.562890529632568359e-01
2.137628111273792153e-01,5.179775280898876177e-01,9.561456441879272461e-01
2.152269399707174291e-01,5.179775280898876177e-01,9.559462070465087891e-01
2.152269399707174291e-01,5.191011235955056424e-01,9.558373093605041504e-01
2.166910688140556429e-01,5.191011235955056424e-01,9.557405710220336914e-01
2.166910688140556429e-01,5.213483146067415808e-01,9.554110765457153320e-01
2.181551976573938567e-01,5.213483146067415808e-01,9.553920030593872070e-01
2.181551976573938567e-01,5.224719101123596054e-01,9.553182125091552734e-01
2.196193265007320705e-01,5.224719101123596054e-01,9.552544951438903809e-01
2.196193265007320705e-01,5.269662921348314821e-01,9.550563693046569824e-01
2.210834553440702843e-01,5.269662921348314821e-01,9.550464153289794922e-01
2.210834553440702843e-01,5.280898876404493958e-01,9.550034999847412109e-01
2.225475841874084981e-01,5.280898876404493958e-01,9.549969434738159180e-01
2.225475841874084981e-01,5.303370786516854452e-01,9.549347758293151855e-01
2.269399707174231395e-01,5.303370786516854452e-01,9.545056223869323730e-01
2.269399707174231395e-01,5.314606741573033588e-01,9.544333815574645996e-01
2.284040995607613533e-01,5.314606741573033588e-01,9.541752338409423828e-01
2.284040995607613533e-01,5.337078651685392972e-01,9.539294242858886719e-01
2.313323572474377809e-01,5.337078651685392972e-01,9.537897706031799316e-01
2.313323572474377809e-01,5.348314606741573218e-01,9.536363482475280762e-01
2.342606149341142086e-01,5.348314606741573218e-01,9.534509778022766113e-01
2.342606149341142086e-01,5.393258426966291985e-01,9.532067775726318359e-01
2.386530014641288500e-01,5.393258426966291985e-01,9.527665376663208008e-01
2.386530014641288500e-01,5.404494382022472232e-01,9.527621865272521973e-01
2.401171303074670638e-01,5.404494382022472232e-01,9.527338743209838867e-01
2.401171303074670638e-01,5.415730337078651369e-01,9.527238607406616211e-01
2.415812591508052776e-01,5.415730337078651369e-01,9.525575637817382812e-01
2.415812591508052776e-01,5.528089887640449396e-01,9.515510797500610352e-01
2.489019033674963466e-01,5.528089887640449396e-01,9.508182406425476074e-01
2.489019033674963466e-01,5.573033707865168163e-01,9.502611160278320312e-01
2.503660322108345326e-01,5.573033707865168163e-01,9.501953721046447754e-01
2.503660322108345326e-01,5.629213483146067176e-01,9.498383998870849609e-01
2.547584187408492018e-01,5.629213483146067176e-01,9.496114850044250488e-01
2.547584187408492018e-01,5.640449438202247423e-01,9.495593905448913574e-01
2.562225475841873878e-01,5.640449438202247423e-01,9.495092034339904785e-01
2.562225475841873878e-01,5.651685393258426560e-01,9.494010210037231445e-01
2.562225475841873878e-01,5.674157303370787053e-01,9.492555856704711914e-01
2.562225475841873878e-01,5.685393258426966190e-01,9.491862654685974121e-01
2.576866764275256294e-01,5.685393258426966190e-01,9.488602280616760254e-01
2.576866764275256294e-01,5.696629213483146437e-01,9.488131403923034668e-01
2.591508052708638155e-01,5.696629213483146437e-01,9.487664699554443359e-01
2.591508052708638155e-01,5.707865168539325573e-01,9.484599828720092773e-01
2.606149341142020570e-01,5.707865168539325573e-01,9.483982324600219727e-01
2.606149341142020570e-01,5.741573033707865203e-01,9.483392834663391113e-01
2.620790629575402431e-01,5.741573033707865203e-01,9.481775164604187012e-01
2.620790629575402431e-01,5.808988764044943354e-01,9.473459720611572266e-01
2.635431918008784846e-01,5.808988764044943354e-01,9.471499323844909668e-01
2.635431918008784846e-01,5.842696629213482984e-01,9.469030499458312988e-01
2.650073206442166707e-01,5.842696629213482984e-01,9.468292593955993652e-01
2.650073206442166707e-01,5.853932584269663231e-01,9.468089938163757324e-01
2.664714494875549122e-01,5.853932584269663231e-01,9.466218948364257812e-01
2.664714494875549122e-01,5.887640449438201751e-01,9.465279579162597656e-01
2.679355783308930983e-01,5.887640449438201751e-01,9.465085268020629883e-01
2.679355783308930983e-01,5.910112359550562244e-01,9.463891386985778809e-01
2.723279648609077674e-01,5.910112359550562244e-01,9.461190104484558105e-01
2.723279648609077674e-01,5.921348314606741381e-01,9.458684325218200684e-01
2.737920937042459535e-01,5.921348314606741381e-01,9.457638263702392578e-01
2.737920937042459535e-01,5.977528089887640395e-01,9.450895190238952637e-01
2.752562225475841950e-01,5.977528089887640395e-01,9.450866580009460449e-01
2.752562225475841950e-01,5.999999999999999778e-01,9.450058937072753906e-01
2.767203513909223811e-01,5.999999999999999778e-01,9.448463916778564453e-01
2.767203513909223811e-01,6.056179775280898792e-01,9.444475173950195312e-01
2.796486090775988087e-01,6.056179775280898792e-01,9.440336823463439941e-01
2.796486090775988087e-01,6.067415730337079038e-01,9.436751008033752441e-01
2.811127379209370503e-01,6.067415730337079038e-01,9.435415863990783691e-01
2.811127379209370503e-01,6.078651685393258175e-01,9.434003233909606934e-01
2.825768667642752363e-01,6.078651685393258175e-01,9.433082938194274902e-01
2.825768667642752363e-01,6.101123595505617558e-01,9.431138634681701660e-01
2.855051244509516639e-01,6.101123595505617558e-01,9.423083662986755371e-01
2.855051244509516639e-01,6.134831460674157189e-01,9.420244693756103516e-01
2.884333821376280915e-01,6.134831460674157189e-01,9.415493011474609375e-01
2.884333821376280915e-01,6.146067415730337435e-01,9.413079023361206055e-01
2.898975109809663331e-01,6.146067415730337435e-01,9.412477016448974609e-01
2.898975109809663331e-01,6.168539325842696819e-01,9.409179091453552246e-01
2.913616398243045191e-01,6.168539325842696819e-01,9.407474994659423828e-01
2.913616398243045191e-01,6.224719101123595832e-01,9.401198625564575195e-01
2.928257686676427607e-01,6.224719101123595832e-01,9.400827884674072266e-01
2.928257686676427607e-01,6.247191011235955216e-01,9.399816989898681641e-01
2.942898975109809467e-01,6.247191011235955216e-01,9.397904276847839355e-01
2.942898975109809467e-01,6.269662921348314599e-01,9.393430948257446289e-01
2.957540263543191883e-01,6.269662921348314599e-01,9.393407106399536133e-01
2.957540263543191883e-01,6.280898876404494846e-01,9.392280578613281250e-01
3.016105417276720435e-01,6.280898876404494846e-01,9.388722181320190430e-01
3.016105417276720435e-01,6.303370786516854229e-01,9.385766386985778809e-01
3.030746705710102296e-01,6.303370786516854229e-01,9.385107159614562988e-01
3.030746705710102296e-01,6.314606741573033366e-01,9.384218454360961914e-01
3.045387994143484711e-01,6.314606741573033366e-01,9.382121562957763672e-01
3.045387994143484711e-01,6.325842696629213613e-01,9.379773736000061035e-01
3.060029282576866572e-01,6.325842696629213613e-01,9.379358887672424316e-01
3.060029282576866572e-01,6.337078651685392749e-01,9.379029273986816406e-01
3.103953147877013263e-01,6.337078651685392749e-01,9.374001026153564453e-01
3.103953147877013263e-01,6.359550561797753243e-01,9.372795224189758301e-01
3.133235724743777539e-01,6.359550561797753243e-01,9.372310638427734375e-01
3.133235724743777539e-01,6.370786516853932380e-01,9.371142387390136719e-01
3.191800878477306092e-01,6.370786516853932380e-01,9.368480443954467773e-01
3.191800878477306092e-01,6.415730337078651146e-01,9.363977909088134766e-01
3.206442166910687952e-01,6.415730337078651146e-01,9.362186193466186523e-01
3.206442166910687952e-01,6.426966292134831393e-01,9.358812570571899414e-01
3.250366032210834644e-01,6.426966292134831393e-01,9.350939989089965820e-01
3.250366032210834644e-01,6.438202247191011640e-01,9.349107742309570312e-01
3.323572474377745056e-01,6.438202247191011640e-01,9.343609809875488281e-01
3.323572474377745056e-01,6.483146067415730407e-01,9.335302710533142090e-01
3.352855051244509332e-01,6.483146067415730407e-01,9.334089756011962891e-01
3.352855051244509332e-01,6.494382022471910654e-01,9.333765506744384766e-01
3.367496339677891748e-01,6.494382022471910654e-01,9.329750537872314453e-01
3.367496339677891748e-01,6.505617977528089790e-01,9.326827526092529297e-01
3.382137628111273608e-01,6.505617977528089790e-01,9.326668977737426758e-01
3.382137628111273608e-01,6.561797752808988804e-01,9.325104951858520508e-01
3.396778916544656024e-01,6.561797752808988804e-01,9.324752688407897949e-01
3.396778916544656024e-01,6.685393258426965968e-01,9.310672283172607422e-01
3.411420204978037884e-01,6.685393258426965968e-01,9.307792782783508301e-01
3.411420204978037884e-01,6.730337078651685845e-01,9.305090308189392090e-01
3.426061493411420300e-01,6.730337078651685845e-01,9.304954409599304199e-01
3.426061493411420300e-01,6.752808988764045228e-01,9.304409623146057129e-01
3.455344070278184576e-01,6.752808988764045228e-01,9.301394224166870117e-01
