recall,precision
9.932584269662921850e-01,6.001357773251867478e-01
9.932584269662921850e-01,6.005434782608695121e-01
9.932584269662921850e-01,6.009517335146159489e-01
9.932584269662921850e-01,6.013605442176870319e-01
9.932584269662921850e-01,6.017699115044248259e-01
9.932584269662921850e-01,6.021798365122615904e-01
9.932584269662921850e-01,6.025903203817314369e-01
9.932584269662921850e-01,6.030013642564802101e-01
9.932584269662921850e-01,6.034129692832764791e-01
9.932584269662921850e-01,6.038251366120218622e-01
9.932584269662921850e-01,6.042378673957621293e-01
9.932584269662921850e-01,6.046511627906976383e-01
9.932584269662921850e-01,6.050650239561944366e-01
9.932584269662921850e-01,6.054794520547944758e-01
9.932584269662921850e-01,6.058944482522276020e-01
9.932584269662921850e-01,6.063100137174211035e-01
9.932584269662921850e-01,6.067261496225120343e-01
9.932584269662921850e-01,6.071428571428570953e-01
9.932584269662921850e-01,6.075601374570446245e-01
9.932584269662921850e-01,6.079779917469051442e-01
9.932584269662921850e-01,6.083964211975223524e-01
9.932584269662921850e-01,6.088154269972452237e-01
9.932584269662921850e-01,6.092350103376981130e-01
9.932584269662921850e-01,6.096551724137930783e-01
9.932584269662921850e-01,6.100759144237405396e-01
9.932584269662921850e-01,6.104972375690608244e-01
9.932584269662921850e-01,6.109191430545957147e-01
9.932584269662921850e-01,6.113416320885201038e-01
9.932584269662921850e-01,6.117647058823529882e-01
9.932584269662921850e-01,6.121883656509695681e-01
9.932584269662921850e-01,6.126126126126125726e-01
9.932584269662921850e-01,6.130374479889042494e-01
9.932584269662921850e-01,6.134628730048576895e-01
9.932584269662921850e-01,6.138888888888889284e-01
9.932584269662921850e-01,6.143154968728283816e-01
9.932584269662921850e-01,6.147426981919332789e-01
9.932584269662921850e-01,6.151704940848990999e-01
9.921348314606741603e-01,6.149025069637883423e-01
9.921348314606741603e-01,6.153310104529616797e-01
9.921348314606741603e-01,6.157601115760111821e-01
9.921348314606741603e-01,6.161898115840893642e-01
9.921348314606741603e-01,6.166201117318436120e-01
9.921348314606741603e-01,6.170510132774283951e-01
9.921348314606741603e-01,6.174825174825174789e-01
9.921348314606741603e-01,6.179146256123163594e-01
